Type de notice	Titre propre-Titre collection-date de diffusion-Chaine de diffusion-Heure de diffusion-Notice-Date de diffusion	Identifiant notice	Fichier source	Nom du fichier	TC IN	TC OUT	Format	Répertoire	Chemin
EMISSION RAD.	Titre: Memoires a Plusieurs voix : Emile BURE   4 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:01/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272753 01/10/1949	PHD99272753	LO19691_01.MP3	PHD99272753_LO19691_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Memoires a Plusieurs voix : Emile BURE   6 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:01/11/1949 - Chaine:Radio Television Francaise comment= notice PHD99272754 01/11/1949	PHD99272754	LO19587_01.MP3	PHD99272754_LO19587_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les grands hommes de la 3eme Republique - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:04/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272755 04/10/1949	PHD99272755	LO19880_01.MP3	PHD99272755_LO19880_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La chasse - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:08/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272756 08/10/1949	PHD99272756	LO20081_01.MP3	PHD99272756_LO20081_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les elections en Autriche - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:11/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272757 11/10/1949	PHD99272757	LO20082_01.MP3	PHD99272757_LO20082_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Conversation du samedi - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:22/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272759 22/10/1949	PHD99272759	LO19804_01.MP3	PHD99272759_LO19804_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Conversation du samedi - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:22/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272759 22/10/1949	PHD99272759	DB05531_01.MP3	PHD99272759_DB05531_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Journee Internationale des Nations Unies : bilan et perspectives de l'ONU - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:24/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272760 24/10/1949	PHD99272760	DB05564_01.MP3	PHD99272760_DB05564_01_0_204000_EXPORT.MP3	00:00:00:00	00:20:40:00	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Journee Internationale des Nations Unies : bilan et perspectives de l'ONU - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:24/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272760 24/10/1949	PHD99272760	LO19879_01.MP3	PHD99272760_LO19879_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Le plan de restrictions britannique - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:27/10/1949 - Chaine:Radio Television Francaise comment= notice PHD99272761 27/10/1949	PHD99272761	LO19709_01.MP3	PHD99272761_LO19709_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
